Taxon,,Date,Pitfall,,,,,,,,,,,
,Order,,1A,1B,1C,2A,2B,2C,3A,3B,3C,UTC1,UTC2,UTC3
,,20-Jul-15,,,,,,,0.0012,0.0001,0.0023,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0.0026,0.0063,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0.001,0,,,
,Trichoptera,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0,0,,,
,Thysanoptera,24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0.0003,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0.0001,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0.0006,0.0001,0,,,
,,22-Jul-15,0,0,0.0004,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0.0001
,,27-Jul-15,,,,,,,0.0001,0,0,,,
,Orthoptera,24-Jun-15,1.4243,1.853,0.2084,,,,,,,,,
,,25-Jun-15,,,,0.0762,1.3825,0.62,,,,,,
,,26-Jun-15,,,,,,,0.9517,1.3025,1.2496,,,
,,27-Jun-15,,,,,,,,,,0.1077,0.5094,0.8012
,,1-Jul-15,0.0745,0.6444,0.7354,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,1.2094,0.7241,0.8756
,,6-Jul-15,,,,,,,0.1128,0.2858,,,,
,,8-Jul-15,0.0396,1.0141,0.2933,,,,,,,,,
,,10-Jul-15,,,,0.045,0.4793,0.2562,,,,,,
,,11-Jul-15,,,,,,,,,,0.0225,0.2436,0.7635
,,13-Jul-15,,,,,,,0.6106,0.6415,0.0795,,,
,,15-Jul-15,0.586,1.3453,1.0689,0.5063,0.3889,0.0581,,,,,,
,,17-Jul-15,,,,0.877,0.648,0.3716,,,,,,
,,18-Jul-15,,,,,,,,,,1.932,2.3056,0.56
,,20-Jul-15,,,,,,,0.1728,0.3623,0.0642,,,
,,22-Jul-15,0.2661,0.6547,1.421,,,,,,,,,
,,24-Jul-15,,,,0.2413,0.1295,0.2792,,,,,,
,,25-Jul-15,,,,,,,,,,3.4257,0.4511,0.2717
,,27-Jul-15,,,,,,,0.689,0.0355,0.2627,,,
,Hemiptera,24-Jun-15,0.0264,0.0223,0.0037,,,,,,,,,
,,25-Jun-15,,,,0.0038,0.0107,0.0099,,,,,,
,,26-Jun-15,,,,,,,0.0161,0.0072,0.0102,,,
,,27-Jun-15,,,,,,,,,,0.0183,0.0037,0.0026
,,1-Jul-15,0.0202,0.0062,0.0042,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0.012,0.0054,0.0237
,,6-Jul-15,,,,,,,0.0102,0.0081,,,,
,,8-Jul-15,0.0217,0.0494,0.0328,,,,,,,,,
,,10-Jul-15,,,,0.0131,0.0098,0.0042,,,,,,
,,11-Jul-15,,,,,,,,,,0.0029,0.0043,0.0218
,,13-Jul-15,,,,,,,0.0068,0.02,0.0142,,,
,,15-Jul-15,0.0591,0.1077,0.0449,0.0063,0.0073,0.0071,,,,,,
,,17-Jul-15,,,,0.0578,0.013,0.0192,,,,,,
,,18-Jul-15,,,,,,,,,,0.0468,0.0236,0.0272
,,20-Jul-15,,,,,,,0.0294,0.0363,0.0262,,,
,,22-Jul-15,0.035,0.0069,0.0257,,,,,,,,,
,,24-Jul-15,,,,0.0067,0.0153,0.0258,,,,,,
,,25-Jul-15,,,,,,,,,,0.0288,0.0003,0.0163
,,27-Jul-15,,,,,,,0.0449,0.0603,0.0223,,,
,Neuroptera,24-Jun-15,0,0,0.0011,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0.0012,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0.0012,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0.0053,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0.005,,,
,,15-Jul-15,0,0,0,0.0045,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0.0087,0,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0.0016,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0,0,,,
,Coleoptera,24-Jun-15,2.061,2.751,3.3163,,,,,,,,,
,,25-Jun-15,,,,4.0514,4.0245,2.9145,,,,,,
,,26-Jun-15,,,,,,,3.9004,3.1374,1.5572,,,
,,27-Jun-15,,,,,,,,,,1.0001,1.9865,0.7706
,,1-Jul-15,1.4238,2.4549,0.4242,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,2.9429,2.5332,1.5079
,,6-Jul-15,,,,,,,3.59,0,,,,
,,8-Jul-15,2.5047,4.3715,1.2152,,,,,,,,,
,,10-Jul-15,,,,10.4722,2.8844,1.9845,,,,,,
,,11-Jul-15,,,,,,,,,,0.8213,1.2316,1.5323
,,13-Jul-15,,,,,,,4.437,2.9639,7.4718,,,
,,15-Jul-15,1.3972,3.9319,2.4248,21.9531,3.2479,3.3154,,,,,,
,,17-Jul-15,,,,1.3628,2.5364,3.0007,,,,,,
,,18-Jul-15,,,,,,,,,,1.1664,2.3612,1.5071
,,20-Jul-15,,,,,,,9.7651,0.0001,5.8783,,,
,,22-Jul-15,1.0068,3.1287,3.2023,,,,,,,,,
,,24-Jul-15,,,,3.0764,3.6583,0.9112,,,,,,
,,25-Jul-15,,,,,,,,,,3.3271,0.6003,1.6593
,,27-Jul-15,,,,,,,7.5335,1.402,4.7066,,,
,Diptera,24-Jun-15,0.2896,0.0703,0.0339,,,,,,,,,
,,25-Jun-15,,,,0.0298,0.1326,0.2006,,,,,,
,,26-Jun-15,,,,,,,0.134,0.0397,0.0088,,,
,,27-Jun-15,,,,,,,,,,0.0215,0.0005,0.0522
,,1-Jul-15,0.1307,0.0688,0.0313,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0.0491,0.161,0.0709
,,6-Jul-15,,,,,,,0.0781,0.1019,,,,
,,8-Jul-15,0.2441,0.1062,0.089,,,,,,,,,
,,10-Jul-15,,,,0.5539,0.2115,0.0722,,,,,,
,,11-Jul-15,,,,,,,,,,0.0566,0.3008,0.0684
,,13-Jul-15,,,,,,,0.0314,0.0378,0.0432,,,
,,15-Jul-15,0.1449,0.0401,0.0197,0.3324,0.067,0.0976,,,,,,
,,17-Jul-15,,,,0.0438,0.0106,0.2158,,,,,,
,,18-Jul-15,,,,,,,,,,0.0941,0.0928,0.0281
,,20-Jul-15,,,,,,,0.3694,0.1412,0.1241,,,
,,22-Jul-15,0.1489,0.1324,0.102,,,,,,,,,
,,24-Jul-15,,,,0.0814,0.1433,0.4455,,,,,,
,,25-Jul-15,,,,,,,,,,0.1974,0.0486,0.0313
,,27-Jul-15,,,,,,,0.5867,0.3614,0.1785,,,
,Hymenoptera,24-Jun-15,0.0271,0.0172,0.0846,,,,,,,,,
,,25-Jun-15,,,,0.0348,0.0483,0.0308,,,,,,
,,26-Jun-15,,,,,,,0.0527,0.068,0.0591,,,
,,27-Jun-15,,,,,,,,,,0.019,0.0032,0.0254
,,1-Jul-15,0.0102,0.0112,0.0127,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0.0283,0.0051,0.0912
,,6-Jul-15,,,,,,,0.0154,0.005,,,,
,,8-Jul-15,0.0019,0.0181,0.0167,,,,,,,,,
,,10-Jul-15,,,,0.0085,0.0142,0.0065,,,,,,
,,11-Jul-15,,,,,,,,,,0.0545,0.0115,0.0035
,,13-Jul-15,,,,,,,0.0035,0.0177,0.0494,,,
,,15-Jul-15,0.0455,0.0043,0.0126,0.0063,0.0339,0.0404,,,,,,
,,17-Jul-15,,,,0.0226,0.0248,0.0107,,,,,,
,,18-Jul-15,,,,,,,,,,0.011,0.0222,0.0155
,,20-Jul-15,,,,,,,0.0321,0.0495,0.0558,,,
,,22-Jul-15,0.0037,0.0021,0.0255,,,,,,,,,
,,24-Jul-15,,,,0.0146,0.0343,0.0205,,,,,,
,,25-Jul-15,,,,,,,,,,0.06,0,0.0185
,,27-Jul-15,,,,,,,0.0536,0.0243,0.0229,,,
,Lepidoptera,24-Jun-15,0,0.0209,0.0043,,,,,,,,,
,,25-Jun-15,,,,0,0.0039,0,,,,,,
,,26-Jun-15,,,,,,,0,0.0047,0,,,
,,27-Jun-15,,,,,,,,,,0.0079,0,0.0003
,,1-Jul-15,0,0.0228,0.0026,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0.0062,0.0094,0.003
,,6-Jul-15,,,,,,,0.0063,0.0009,,,,
,,8-Jul-15,0.001,0,0.0154,,,,,,,,,
,,10-Jul-15,,,,0.0667,0.0003,0.0154,,,,,,
,,11-Jul-15,,,,,,,,,,0,0.0255,0
,,13-Jul-15,,,,,,,0.1055,0.0072,0.3044,,,
,,15-Jul-15,0,0.0369,0.1136,0.0284,0.0022,0.0019,,,,,,
,,17-Jul-15,,,,0.0165,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0.0768,0,0
,,20-Jul-15,,,,,,,0.113,0,0.0195,,,
,,22-Jul-15,0,0.0623,0.0311,,,,,,,,,
,,24-Jul-15,,,,0.0033,0.0011,0.0245,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0.0113
,,27-Jul-15,,,,,,,0.008,0,0.0039,,,
,Mantodea,24-Jun-15,0.0029,0.0006,0.0015,,,,,,,,,
,,25-Jun-15,,,,0,0.0073,0,,,,,,
,,26-Jun-15,,,,,,,0.0015,0.0024,0,,,
,,27-Jun-15,,,,,,,,,,0,0.0022,0.0019
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0.0018,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0.0187,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0,0,,,
,,22-Jul-15,0,0.0079,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0.0196,0,,,
,Phasmatodea,24-Jun-15,,,,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,,,,,,
,,27-Jun-15,,,,,,,,,,,,
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,,,
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0,0,,,,,,
,,11-Jul-15,,,,,,,,,,,,
,,13-Jul-15,,,,,,,,,,,,
,,15-Jul-15,0,0,0,0,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,,,
,,20-Jul-15,,,,,,,0,0,0,,,
,,22-Jul-15,0.0694,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,,,
,,27-Jul-15,,,,,,,0,0,0,,,
,Immatures (larvae),24-Jun-15,0,0,0,,,,,,,,,
,,25-Jun-15,,,,0,0,0,,,,,,
,,26-Jun-15,,,,,,,0,0,0,,,
,,27-Jun-15,,,,,,,,,,0,0,0
,,1-Jul-15,0,0,0,,,,,,,,,
,,3-Jul-15,,,,,,,,,,,,
,,4-Jul-15,,,,,,,,,,0,0,0
,,6-Jul-15,,,,,,,0,0,,,,
,,8-Jul-15,0,0,0,,,,,,,,,
,,10-Jul-15,,,,0,0.0709,0,,,,,,
,,11-Jul-15,,,,,,,,,,0,0,0
,,13-Jul-15,,,,,,,0,0,0,,,
,,15-Jul-15,0,0,0,0.0003,0,0,,,,,,
,,17-Jul-15,,,,0,0,0,,,,,,
,,18-Jul-15,,,,,,,,,,0,0,0
,,20-Jul-15,,,,,,,0,0.0061,0,,,
,,22-Jul-15,0,0,0,,,,,,,,,
,,24-Jul-15,,,,0,0,0,,,,,,
,,25-Jul-15,,,,,,,,,,0,0,0
,,27-Jul-15,,,,,,,0,0.0067,0,,,
