method;year;month;day;block;site;event;order;mass;family_count;family_list
malaise;2015;vi;24;1;C;1;Lepidoptera;0.0396;4;Crambidae,Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;24;1;C;1;Mantodea;0;0;NA
malaise;2015;vi;24;1;C;1;Neuroptera;0.0032;1;Hemerobiidae
malaise;2015;vi;24;1;C;1;Orthoptera;0.0;2;Acrididae,Tettigoniidae
malaise;2015;vi;24;1;C;1;Thysanoptera;0.0;0;NA
malaise;2015;vi;24;1;C;1;Trichoptera;0;0;NA
malaise;2015;vi;25;2;A;1;Coleoptera;0.0131;3;Anobiidae,Chrysomelidae,Coccinellidae
malaise;2015;vi;25;2;A;1;Collembola;0.0;0;NA
malaise;2015;vi;25;2;A;1;Diptera;2.1772;17;Anthomyiidae,Calliphoridae,Ceratopogonidae,Chloropidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Milichiidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Sciaridae,Sepsidae,Syrphidae,Tachinidae,Tephritidae
malaise;2015;vi;25;2;A;1;Hemiptera;0.025;3;Cicadellidae,Lygaeidae,Miridae
malaise;2015;vi;25;2;A;1;Hymenoptera;0.1102;7;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vi;25;2;A;1;Lepidoptera;0.2533;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;25;2;A;1;Mantodea;0;0;NA
malaise;2015;vi;25;2;A;1;Neuroptera;0.0013;1;Hemerobiidae
malaise;2015;vi;25;2;A;1;Orthoptera;0.0;0;NA
malaise;2015;vi;25;2;A;1;Thysanoptera;0.0;0;NA
malaise;2015;vi;25;2;A;1;Trichoptera;0;0;NA
malaise;2015;vi;25;2;B;1;Coleoptera;0.03;1;Coccinellidae
malaise;2015;vi;25;2;B;1;Collembola;0.0;0;NA
malaise;2015;vi;25;2;B;1;Diptera;1.0078;13;Anthomyiidae,Asilidae,Calliphoridae,Chloropidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Muscidae,Phoridae,Sarcophagidae,Sepsidae,Syrphidae,Tachinidae
malaise;2015;vi;25;2;B;1;Hemiptera;0.0163;3;Cicadellidae,Lygaeidae,Miridae
malaise;2015;vi;25;2;B;1;Hymenoptera;0.2282;6;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Sphecidae,Vespidae
malaise;2015;vi;25;2;B;1;Lepidoptera;0.0818;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;25;2;B;1;Mantodea;0;0;NA
malaise;2015;vi;25;2;B;1;Neuroptera;0.0054;2;Chrysopidae,Hemerobiidae
malaise;2015;vi;25;2;B;1;Orthoptera;0.0712;1;Acrididae
malaise;2015;vi;25;2;B;1;Thysanoptera;0.0;0;NA
malaise;2015;vi;25;2;B;1;Trichoptera;0;0;NA
malaise;2015;vi;25;2;C;1;Coleoptera;0.0295;2;Chrysomelidae,Coccinellidae
malaise;2015;vi;25;2;C;1;Collembola;0.0;0;NA
malaise;2015;vi;25;2;C;1;Diptera;1.4279;13;Calliphoridae,Chloropidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Muscidae,Phoridae,Sarcophagidae,Sciaridae,Sepsidae,Syrphidae,Tachinidae,Tephritidae
malaise;2015;vi;25;2;C;1;Hemiptera;0.0629;3;Cicadellidae,Coreidae,Miridae
malaise;2015;vi;25;2;C;1;Hymenoptera;0.2373;5;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae
malaise;2015;vi;25;2;C;1;Lepidoptera;0.1376;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;25;2;C;1;Mantodea;0;0;NA
malaise;2015;vi;25;2;C;1;Neuroptera;0.002;1;Chrysopidae
malaise;2015;vi;25;2;C;1;Orthoptera;0.2109;1;Acrididae
malaise;2015;vi;25;2;C;1;Thysanoptera;0.0;0;NA
malaise;2015;vi;25;2;C;1;Trichoptera;0;0;NA
malaise;2015;vi;26;3;A;1;Coleoptera;0.0515;2;Coccinellidae,Melyridae
malaise;2015;vi;26;3;A;1;Collembola;0.0;0;NA
malaise;2015;vi;26;3;A;1;Diptera;3.2444;23;Anthomyiidae,Asilidae,Bombyliidae,Calliphoridae,Ceratopogonidae,Chironomidae,Chloropidae,Conopidae,Culicidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Milichiidae,Muscidae,Mycetophilidae,Phoridae,Pipunculidae,Sarcophagidae,Sepsidae,Syrphidae,Tachinidae,Tephritidae,Tipulidae
malaise;2015;vi;26;3;A;1;Hemiptera;0.0463;5;Alydidae,Cicadellidae,Miridae,Nabidae,Rhopalidae
malaise;2015;vi;26;3;A;1;Hymenoptera;0.6784;10;Braconidae,Chrysididae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Proctotrupidae,Sphecidae,Tiphiidae,Vespidae
malaise;2015;vi;26;3;A;1;Lepidoptera;0.2606;4;Gelechiidae,Noctuidae,Pieridae,Pyralidae
malaise;2015;vi;26;3;A;1;Mantodea;0;0;NA
malaise;2015;vi;26;3;A;1;Neuroptera;0.0103;3;Chrysopidae,Hemerobiidae,Myrmeliontidae
malaise;2015;vi;26;3;A;1;Orthoptera;0.0555;1;Tettigoniidae
malaise;2015;vi;26;3;A;1;Thysanoptera;0;0;NA
malaise;2015;vi;26;3;A;1;Trichoptera;0;0;NA
malaise;2015;vi;26;3;B;1;Coleoptera;0.0084;1;Coccinellidae
malaise;2015;vi;26;3;B;1;Collembola;0.0;0;NA
malaise;2015;vi;26;3;B;1;Diptera;1.2691;15;Anthomyiidae,Asilidae,Calliphoridae,Chloropidae,Conopidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Syrphidae,Tachinidae,Tephritidae
malaise;2015;vi;26;3;B;1;Hemiptera;0.0112;4;Cicadellidae,Delphacidae,Lygaeidae,Miridae
malaise;2015;vi;26;3;B;1;Hymenoptera;0.689;9;Braconidae,Chrysididae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae,Vespidae
malaise;2015;vi;26;3;B;1;Lepidoptera;0.0718;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;26;3;B;1;Mantodea;0;0;NA
malaise;2015;vi;26;3;B;1;Neuroptera;0.0;1;Hemerobiidae
malaise;2015;vi;26;3;B;1;Orthoptera;0.1026;1;Acrididae
malaise;2015;vi;26;3;B;1;Thysanoptera;0;0;NA
malaise;2015;vi;26;3;B;1;Trichoptera;0;0;NA
malaise;2015;vi;26;3;C;1;Coleoptera;0.025;1;Coccinellidae
malaise;2015;vi;26;3;C;1;Collembola;0.0;0;NA
malaise;2015;vi;26;3;C;1;Diptera;0.5146;19;Anthomyiidae,Calliphoridae,Chironomidae,Chloropidae,Conopidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Lonchaetidae,Milichiidae,Muscidae,Phoridae,Pipunculidae,Psychodidae,Sarcophagidae,Sepsidae,Syrphidae,Tachinidae,Ulidiidae
malaise;2015;vi;26;3;C;1;Hemiptera;0.0155;3;Cicadellidae,Lygaeidae,Miridae
malaise;2015;vi;26;3;C;1;Hymenoptera;0.5773;10;Bethylidae,Braconidae,Chrysididae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Scelionidae,Sphecidae,Tiphiidae
malaise;2015;vi;26;3;C;1;Lepidoptera;0.0802;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;26;3;C;1;Mantodea;0;0;NA
malaise;2015;vi;26;3;C;1;Neuroptera;0.002;2;Chrysopidae,Hemerobiidae
malaise;2015;vi;26;3;C;1;Orthoptera;0.0;0;NA
malaise;2015;vi;26;3;C;1;Thysanoptera;0;0;NA
malaise;2015;vi;26;3;C;1;Trichoptera;0;0;NA
malaise;2015;vi;27;UTC;1;1;Coleoptera;0.436;0;NA
malaise;2015;vi;27;UTC;1;1;Collembola;0.0;0;NA
malaise;2015;vi;27;UTC;1;1;Diptera;0.5484;6;Anthomyiidae,Chloropidae,Muscidae,Sarcophagidae,Syrphidae,Tachinidae
malaise;2015;vi;27;UTC;1;1;Hemiptera;0.0;0;NA
malaise;2015;vi;27;UTC;1;1;Hymenoptera;0.4285;7;Braconidae,Chrysididae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Tiphiidae
malaise;2015;vi;27;UTC;1;1;Lepidoptera;0.3235;4;Gelechiidae,Hesperiidae,Noctuidae,Pyralidae
malaise;2015;vi;27;UTC;1;1;Mantodea;0;0;NA
malaise;2015;vi;27;UTC;1;1;Neuroptera;0.0016;1;Chrysopidae
malaise;2015;vi;27;UTC;1;1;Orthoptera;0.0967;1;Acrididae
malaise;2015;vi;27;UTC;1;1;Thysanoptera;0;0;NA
malaise;2015;vi;27;UTC;1;1;Trichoptera;0;0;NA
malaise;2015;vi;27;UTC;2;1;Coleoptera;0.0323;3;Anobiidae,Cleridae,Coccinellidae
malaise;2015;vi;27;UTC;2;1;Collembola;0.0;0;NA
malaise;2015;vi;27;UTC;2;1;Diptera;0.4211;11;Asilidae,Ceratopogonidae,Chloropidae,Dolichopodidae,Lauxaniidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Syrphidae,Tachinidae
malaise;2015;vi;27;UTC;2;1;Hemiptera;0.0247;4;Cicadellidae,Delphacidae,Miridae,Pentatomidae
malaise;2015;vi;27;UTC;2;1;Hymenoptera;0.7197;4;Halictidae,Mutillidae,Pompilidae,Tiphiidae
malaise;2015;vi;27;UTC;2;1;Lepidoptera;0.1685;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vi;27;UTC;2;1;Mantodea;0;0;NA
malaise;2015;vi;27;UTC;2;1;Neuroptera;0.0015;1;Hemerobiidae
malaise;2015;vi;27;UTC;2;1;Orthoptera;0.0;0;NA
malaise;2015;vi;27;UTC;2;1;Thysanoptera;0;0;NA
malaise;2015;vi;27;UTC;2;1;Trichoptera;0;0;NA
malaise;2015;vi;27;UTC;3;1;Coleoptera;0.004;1;Coccinellidae
malaise;2015;vi;27;UTC;3;1;Collembola;0.0;0;NA
malaise;2015;vi;27;UTC;3;1;Diptera;1.0184;16;Anthomyiidae,Asilidae,Calliphoridae,Ceratopogonidae,Chironomidae,Chloropidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Muscidae,Pipunculidae,Sarcophagidae,Sciaridae,Sepsidae,Syrphidae,Tachinidae
malaise;2015;vi;27;UTC;3;1;Hemiptera;0.0064;2;Cicadellidae,Miridae
malaise;2015;vi;27;UTC;3;1;Hymenoptera;0.3185;8;Braconidae,Formicidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vi;27;UTC;3;1;Lepidoptera;0.0164;5;Crambidae,Gelechiidae,Noctuidae,Pterophoridae,Pyralidae
malaise;2015;vi;27;UTC;3;1;Mantodea;0;0;NA
malaise;2015;vi;27;UTC;3;1;Neuroptera;0.005;1;Chrysopidae
malaise;2015;vi;27;UTC;3;1;Orthoptera;0.0;0;NA
malaise;2015;vi;27;UTC;3;1;Thysanoptera;0;0;NA
malaise;2015;vi;27;UTC;3;1;Trichoptera;0;0;NA
malaise;2015;vii;01;1;A;2;Coleoptera;0.0096;1;Coccinellidae
malaise;2015;vii;01;1;A;2;Collembola;0.0;0;NA
malaise;2015;vii;01;1;A;2;Diptera;1.357;18;Anthomyiidae,Bombyliidae,Calliphoridae,Ceratopogonidae,Chironomidae,Chloropidae,Culicidae,Ephydridae,Heleomyzidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Sciaridae,Syrphidae,Tachinidae,Tephritidae,Ulidiidae
malaise;2015;vii;01;1;A;2;Hemiptera;0.0106;3;Anthocoridae,Cicadellidae,Miridae
malaise;2015;vii;01;1;A;2;Hymenoptera;0.3063;7;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vii;01;1;A;2;Lepidoptera;0.3419;4;Gelechiidae,Hesperiidae,Noctuidae,Pyralidae
malaise;2015;vii;01;1;A;2;Mantodea;0;0;NA
malaise;2015;vii;01;1;A;2;Neuroptera;0.0048;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;01;1;A;2;Orthoptera;0.0;0;NA
malaise;2015;vii;01;1;A;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;01;1;A;2;Trichoptera;0;0;NA
malaise;2015;vii;01;1;B;2;Coleoptera;0.0;0;NA
malaise;2015;vii;01;1;B;2;Collembola;0.0;0;NA
malaise;2015;vii;01;1;B;2;Diptera;0.5909;13;Anthomyiidae,Ceratopogonidae,Chloropidae,Ephydridae,Heleomyzidae,Lauxaniidae,Muscidae,Phoridae,Sarcophagidae,Sciaridae,Syrphidae,Tachinidae,Tephritidae
malaise;2015;vii;01;1;B;2;Hemiptera;0.0056;2;Cicadellidae,Miridae
malaise;2015;vii;01;1;B;2;Hymenoptera;0.7632;7;Braconidae,Halictidae,Ichneumonidae,Melittidae,Mutillidae,Pompilidae,Tiphiidae
malaise;2015;vii;01;1;B;2;Lepidoptera;0.0963;2;Gelechiidae,Noctuidae
malaise;2015;vii;01;1;B;2;Mantodea;0;0;NA
malaise;2015;vii;01;1;B;2;Neuroptera;0.0028;2;Chloropidae,Hemerobiidae
malaise;2015;vii;01;1;B;2;Orthoptera;0.0;0;NA
malaise;2015;vii;01;1;B;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;01;1;B;2;Trichoptera;0;0;NA
malaise;2015;vii;01;1;C;2;Coleoptera;0.059;1;Cerambycidae
malaise;2015;vii;01;1;C;2;Collembola;0.0;0;NA
malaise;2015;vii;01;1;C;2;Diptera;0.598;17;Anthomyiidae,Ceratopogonidae,Chironomidae,Chloropidae,Conopidae,Drosophilidae,Ephydridae,Lauxaniidae,Muscidae,Phoridae,Sarcophagidae,Sciaridae,Syrphidae,Tachinidae,Tephritidae,Tipulidae,Ulidiidae
malaise;2015;vii;01;1;C;2;Hemiptera;0.0067;1;Cicadellidae
malaise;2015;vii;01;1;C;2;Hymenoptera;0.6965;6;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Tiphiidae
malaise;2015;vii;01;1;C;2;Lepidoptera;0.1052;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vii;01;1;C;2;Mantodea;0;0;NA
malaise;2015;vii;01;1;C;2;Neuroptera;0.003;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;01;1;C;2;Orthoptera;0.0;0;NA
malaise;2015;vii;01;1;C;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;01;1;C;2;Trichoptera;0;0;NA
malaise;2015;vii;03;2;A;2;Coleoptera;0.04;3;Cleridae,Coccinellidae,Melyridae
malaise;2015;vii;03;2;A;2;Collembola;0.0;0;NA
malaise;2015;vii;03;2;A;2;Diptera;2.1488;20;Anthomyiidae,Calliphoridae,Ceratopogonidae,Chironomidae,Chloropidae,Conopidae,Culicidae,Dolichopodidae,Drosophilidae,Heleomyzidae,Milichiidae,Muscidae,Phoridae,Sarcophagidae,Scatopsidae,Sciaridae,Syrphidae,Tachinidae,Therevidae,Ulidiidae
malaise;2015;vii;03;2;A;2;Hemiptera;0.0121;2;Cicadellidae,Miridae
malaise;2015;vii;03;2;A;2;Hymenoptera;0.9369;9;Braconidae,Chrysididae,Formicidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vii;03;2;A;2;Lepidoptera;0.4039;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vii;03;2;A;2;Mantodea;0;0;NA
malaise;2015;vii;03;2;A;2;Neuroptera;0.0048;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;03;2;A;2;Orthoptera;0.3324;1;Acrididae
malaise;2015;vii;03;2;A;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;03;2;A;2;Trichoptera;0;0;NA
malaise;2015;vii;03;2;B;2;Coleoptera;0.0205;2;Cleridae,Coccinellidae
malaise;2015;vii;03;2;B;2;Collembola;0.0;0;NA
malaise;2015;vii;03;2;B;2;Diptera;1.4902;23;Agromyzidae,Anthomyiidae,Bombyliidae,Calliphoridae,Ceratopogonidae,Chironomidae,Chloropidae,Dolichopodidae,Heleomyzidae,Lauxaniidae,Milichiidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Scatopsidae,Sciaridae,Sepsidae,Syrphidae,Tachinidae,Tephritidae,Tipulidae,Ulidiidae
malaise;2015;vii;03;2;B;2;Hemiptera;0.0091;4;Berytidae,Cicadellidae,Lygaeidae,Miridae
malaise;2015;vii;03;2;B;2;Hymenoptera;0.7362;6;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae
malaise;2015;vii;03;2;B;2;Lepidoptera;0.3333;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vii;03;2;B;2;Mantodea;0;0;NA
malaise;2015;vii;03;2;B;2;Neuroptera;0.0051;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;03;2;B;2;Orthoptera;0.0991;1;Acrididae
malaise;2015;vii;03;2;B;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;03;2;B;2;Trichoptera;0;0;NA
malaise;2015;vii;03;2;C;2;Coleoptera;0.0736;5;Anobiidae,Chrysomelidae,Cleridae,Coccinellidae,Melyridae
malaise;2015;vii;03;2;C;2;Collembola;0.0;0;NA
malaise;2015;vii;03;2;C;2;Diptera;2.476;26;Acroceridae,Anthomyiidae,Bombyliidae,Calliphoridae,Canacidae,Ceratopogonidae,Chironomidae,Chloropidae,Conopidae,Dolichopodidae,Ephydridae,Heleomyzidae,Lauxaniidae,Milichiidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Sciaridae,Sepsidae,Sepsidae,Syrphidae,Tachinidae,Tephritidae,Tipulidae,Ulidiidae
malaise;2015;vii;03;2;C;2;Hemiptera;0.023;3;Cicadellidae,Lygaeidae,Miridae
malaise;2015;vii;03;2;C;2;Hymenoptera;0.5866;7;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vii;03;2;C;2;Lepidoptera;0.2797;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vii;03;2;C;2;Mantodea;0;0;NA
malaise;2015;vii;03;2;C;2;Neuroptera;0.009600000000000001;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;03;2;C;2;Orthoptera;0.0571;1;Tettigoniidae
malaise;2015;vii;03;2;C;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;03;2;C;2;Trichoptera;0;0;NA
malaise;2015;vii;04;UTC;1;2;Coleoptera;0.043;3;Buprestidae,Chrysomelidae,Coccinellidae
malaise;2015;vii;04;UTC;1;2;Collembola;0.0;0;NA
malaise;2015;vii;04;UTC;1;2;Diptera;0.6199;15;Anthomyiidae,Ceratopogonidae,Chironomidae,Chloropidae,Culicidae,Dolichopodidae,Ephydridae,Heleomyzidae,Lauxaniidae,Muscidae,Phoridae,Sarcophagidae,Syrphidae,Tachinidae,Tephritidae
malaise;2015;vii;04;UTC;1;2;Hemiptera;0.0022;2;Cicadellidae,Miridae
malaise;2015;vii;04;UTC;1;2;Hymenoptera;0.4408;6;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae
malaise;2015;vii;04;UTC;1;2;Lepidoptera;0.121;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vii;04;UTC;1;2;Mantodea;0;0;NA
malaise;2015;vii;04;UTC;1;2;Neuroptera;0.0079;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;04;UTC;1;2;Orthoptera;0.0;0;NA
malaise;2015;vii;04;UTC;1;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;04;UTC;1;2;Trichoptera;0;0;NA
malaise;2015;vii;04;UTC;2;2;Coleoptera;0.0445;3;Anthicidae,Cleridae,Coccinellidae
malaise;2015;vii;04;UTC;2;2;Collembola;0.0;0;NA
malaise;2015;vii;04;UTC;2;2;Diptera;0.7541;19;Anthomyiidae,Calliphoridae,Cecidomyiidae,Ceratopogonidae,Chironomidae,Chloropidae,Dolichopodidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Sciaridae,Sepsidae,Simuliidae,Syrphidae,Tachinidae,Tephritidae,Tipulidae,Ulidiidae
malaise;2015;vii;04;UTC;2;2;Hemiptera;0.0115;3;Cicadellidae,Miridae,Rhopalidae
malaise;2015;vii;04;UTC;2;2;Hymenoptera;0.4408;9;Braconidae,Chalcididae,Chrysididae,Formicidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Tiphiidae
malaise;2015;vii;04;UTC;2;2;Lepidoptera;0.1683;4;Crambidae,Gelechiidae,Geometridae,Noctuidae
malaise;2015;vii;04;UTC;2;2;Mantodea;0;0;NA
malaise;2015;vii;04;UTC;2;2;Neuroptera;0.007;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;04;UTC;2;2;Orthoptera;0.1452;1;Acrididae
malaise;2015;vii;04;UTC;2;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;04;UTC;2;2;Trichoptera;0;0;NA
malaise;2015;vii;04;UTC;3;2;Coleoptera;0.0094;2;Anobiidae,Coccinellidae
malaise;2015;vii;04;UTC;3;2;Collembola;0.0;0;NA
malaise;2015;vii;04;UTC;3;2;Diptera;0.5479;17;Anthomyiidae,Ceratopogonidae,Chironomidae,Chloropidae,Dolichopodidae,Lauxaniidae,Milichiidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Sciaridae,Sepsidae,Syrphidae,Tachinidae,Tephritidae,Tipulidae
malaise;2015;vii;04;UTC;3;2;Hemiptera;0.008;2;Cicadellidae,Miridae
malaise;2015;vii;04;UTC;3;2;Hymenoptera;1.219;7;Braconidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vii;04;UTC;3;2;Lepidoptera;0.3481;3;Gelechiidae,Noctuidae,Pyralidae
malaise;2015;vii;04;UTC;3;2;Mantodea;0;0;NA
malaise;2015;vii;04;UTC;3;2;Neuroptera;0.0011;1;Hemerobiidae
malaise;2015;vii;04;UTC;3;2;Orthoptera;0.0127;1;Gryllidae
malaise;2015;vii;04;UTC;3;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;04;UTC;3;2;Trichoptera;0;0;NA
malaise;2015;vii;06;3;A;2;Coleoptera;0.0473;4;Chrysomelidae,Cleridae,Coccinellidae,Melyridae
malaise;2015;vii;06;3;A;2;Collembola;0.0;0;NA
malaise;2015;vii;06;3;A;2;Diptera;2.8634;23;Anthomyiidae,Asilidae,Bombyliidae,Ceratopogonidae,Chironomidae,Chloropidae,Conopidae,Culicidae,Dolichopodidae,Drosophilidae,Ephydridae,Heleomyzidae,Milichiidae,Muscidae,Phoridae,Pipunculidae,Sarcophagidae,Sepsidae,Syrphidae,Tachinidae,Tephritidae,Therevidae,Ulidiidae
malaise;2015;vii;06;3;A;2;Hemiptera;0.046;5;Cicadellidae,Lygaeidae,Miridae,Pentatomidae,Rhopalidae
malaise;2015;vii;06;3;A;2;Hymenoptera;1.0577;8;Braconidae,Evaniidae,Halictidae,Ichneumonidae,Mutillidae,Pompilidae,Sphecidae,Tiphiidae
malaise;2015;vii;06;3;A;2;Lepidoptera;0.5219;5;Crambidae,Gelechiidae,Noctuidae,Pieridae,Pyralidae
malaise;2015;vii;06;3;A;2;Mantodea;0;0;NA
malaise;2015;vii;06;3;A;2;Neuroptera;0.0049;2;Chrysopidae,Hemerobiidae
malaise;2015;vii;06;3;A;2;Orthoptera;0.327;1;Tettigoniidae
malaise;2015;vii;06;3;A;2;Thysanoptera;0.0;0;NA
malaise;2015;vii;06;3;A;2;Trichoptera;0;0;NA
malaise;2015;vii;06;3;B;2;Coleoptera;0.0045;1;Coccinellidae
malaise;2015;vii;06;3;B;2;Collembola;0.0;0;NA
malaise;2015;vii;06;3;B;2;Diptera;1.1841;22;Anthomyiidae,Bombyliidae,Ceratopogonidae,Chironomidae,Chloropidae,Culicidae,Dolichopodidae,Drosophilidae,Ephydridae,Heleomyzidae,Lauxaniidae,Milichiidae,Muscidae,Phoridae,Sarcophagidae,Scatopsidae,Sciaridae,Syrphidae,Tachinidae,Tephritidae,Tipulidae,Ulidiidae
malaise;2015;vii;06;3;B;2;Hemiptera;0.0136;2;Cicadellidae,Miridae
